,title,year,rating,genre,movie_length,votes
0,Spider-Man: No Way Home,(2021),8.7,"Action, Adventure, Fantasy",148 min,"472,999"
1,Licorice Pizza,(2021),7.7,"Comedy, Drama, Romance",133 min,"37,621"
2,Dune,(2021),8.1,"Action, Adventure, Drama",155 min,"494,041"
3,CODA,(2021),8.1,"Comedy, Drama, Music",111 min,"52,685"
4,Kingsman: The Secret Service,(2014),7.7,"Action, Adventure, Comedy",129 min,"640,225"
5,West Side Story,(2021),7.8,"Crime, Drama, Musical",156 min,"30,835"
6,Ghostbusters,(1984),7.8,"Action, Comedy, Fantasy",105 min,"400,219"
7,The Shawshank Redemption,(1994),9.3,Drama,142 min,"2,549,612"
8,The Dark Knight,(2008),9.0,"Action, Crime, Drama",152 min,"2,500,137"
9,Jurassic Park,(1993),8.1,"Action, Adventure, Sci-Fi",127 min,"934,287"
10,Avengers: Endgame,(2019),8.4,"Action, Adventure, Drama",181 min,"1,017,178"
11,Interstellar,(2014),8.6,"Adventure, Drama, Sci-Fi",169 min,"1,694,641"
12,Once Upon a Time... In Hollywood,(2019),7.6,"Comedy, Drama",161 min,"672,283"
13,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,"Action, Adventure, Drama",178 min,"1,779,149"
14,The Godfather,(1972),9.2,"Crime, Drama",175 min,"1,753,613"
15,The Gentlemen,(2019),7.8,"Action, Comedy, Crime",113 min,"304,964"
16,Knives Out,(2019),7.9,"Comedy, Crime, Drama",130 min,"574,325"
17,Titanic,(1997),7.8,"Drama, Romance",194 min,"1,122,252"
18,The Wolf of Wall Street,(2013),8.2,"Biography, Comedy, Crime",180 min,"1,317,923"
19,Stand by Me,(1986),8.1,"Adventure, Drama",89 min,"388,807"
20,Harry Potter and the Sorcerer's Stone,(2001),7.6,"Adventure, Family, Fantasy",152 min,"742,337"
21,Fight Club,(1999),8.8,Drama,139 min,"2,007,181"
22,Tombstone,(1993),7.8,"Action, Biography, Drama",130 min,"141,457"
23,Parasite,(2019),8.6,"Comedy, Drama, Thriller",132 min,"720,504"
24,Get Out,(I) (2017),7.7,"Horror, Mystery, Thriller",104 min,"551,161"
25,Avengers: Infinity War,(2018),8.4,"Action, Adventure, Sci-Fi",149 min,"984,412"
26,Heat,(1995),8.2,"Action, Crime, Drama",170 min,"626,223"
27,Joker,(I) (2019),8.4,"Crime, Drama, Thriller",122 min,"1,148,631"
28,The Notebook,(2004),7.8,"Drama, Romance",123 min,"553,114"
29,Pulp Fiction,(1994),8.9,"Crime, Drama",154 min,"1,960,589"
30,The Matrix,(1999),8.7,"Action, Sci-Fi",136 min,"1,838,894"
31,Deadpool,(2016),8.0,"Action, Adventure, Comedy",108 min,"981,165"
32,Inception,(2010),8.8,"Action, Adventure, Sci-Fi",148 min,"2,239,065"
33,Wind River,(2017),7.7,"Crime, Drama, Mystery",107 min,"238,575"
34,Inglourious Basterds,(2009),8.3,"Adventure, Drama, War",153 min,"1,375,115"
35,Zack Snyder's Justice League,(2021),8.1,"Action, Adventure, Fantasy",242 min,"361,002"
36,Blade Runner 2049,(2017),8.0,"Action, Drama, Mystery",164 min,"529,308"
37,Forrest Gump,(1994),8.8,"Drama, Romance",142 min,"1,967,528"
38,Avatar,(2009),7.8,"Action, Adventure, Fantasy",162 min,"1,181,053"
39,Schindler's List,(1993),8.9,"Biography, Drama, History",195 min,"1,301,207"
40,Warrior,(2011),8.1,"Action, Drama, Sport",140 min,"459,046"
41,Pride & Prejudice,(2005),7.8,"Drama, Romance",129 min,"283,317"
42,Requiem for a Dream,(2000),8.3,Drama,102 min,"812,551"
43,Prisoners,(2013),8.1,"Crime, Drama, Mystery",153 min,"665,846"
44,Gone Girl,(2014),8.1,"Drama, Mystery, Thriller",149 min,"938,391"
45,American Psycho,(2000),7.6,"Crime, Drama, Horror",101 min,"550,942"
46,The Dark Knight Rises,(2012),8.4,"Action, Crime, Drama",164 min,"1,620,550"
47,Spider-Man: Into the Spider-Verse,(2018),8.4,"Animation, Action, Adventure",117 min,"472,516"
48,Gladiator,(2000),8.5,"Action, Adventure, Drama",155 min,"1,437,406"
49,Batman Begins,(2005),8.2,"Action, Crime, Drama",140 min,"1,395,321"
50,The Hangover,(2009),7.7,Comedy,100 min,"759,709"
51,Watchmen,(2009),7.6,"Action, Drama, Mystery",162 min,"535,296"
52,1917,(2019),8.3,"Action, Drama, War",119 min,"533,822"
53,Whiplash,(2014),8.5,"Drama, Music",106 min,"793,585"
54,The Lord of the Rings: The Return of the King,(2003),8.9,"Action, Adventure, Drama",201 min,"1,757,293"
55,Star Wars,(1977),8.6,"Action, Adventure, Fantasy",121 min,"1,307,324"
56,The Silence of the Lambs,(1991),8.6,"Crime, Drama, Thriller",118 min,"1,369,131"
57,The Big Short,(2015),7.8,"Biography, Comedy, Drama",130 min,"409,335"
